TABLE_SCHEMA                                                                                                                     TABLE_NAME                                                                                                                       COLUMN_NAME                                                                                                                      DATA_TYPE                                                                                                                        ORDINAL_POSITION
dbo                                                                                                                              dwFullCompany                                                                                                                    curAlertAmtFromPosEq                                                                                                             money                                                                                                                                          19
dbo                                                                                                                              dwFullCompany                                                                                                                    nAlertDaysBeforeLeaseEnd                                                                                                         smallint                                                                                                                                       20
dbo                                                                                                                              dwFullCompany                                                                                                                    nAlertDaysBeforeLoanEnd                                                                                                          smallint                                                                                                                                       21
dbo                                                                                                                              dwFullCompany                                                                                                                    lAlertAtMileage                                                                                                                  int                                                                                                                                            22
dbo                                                                                                                              dwFullCompany                                                                                                                    bOnlyMgrsSetStatus                                                                                                               bit                                                                                                                                            23
dbo                                                                                                                              dwFullCompany                                                                                                                    cColdCallsAssigned                                                                                                               tinyint                                                                                                                                        24
dbo                                                                                                                              dwFullCompany                                                                                                                    bShowDMSSold                                                                                                                     bit                                                                                                                                            25
dbo                                                                                                                              dwFullCompany                                                                                                                    nliPowerPlayOption                                                                                                               smallint                                                                                                                                       26
dbo                                                                                                                              dwFullCompany                                                                                                                    szPowerPlayOption                                                                                                                varchar                                                                                                                                        27
dbo                                                                                                                              dwFullCompany                                                                                                                    bNewUsed                                                                                                                         bit                                                                                                                                            28
dbo                                                                                                                              dwFullCompany                                                                                                                    nliLeadLinkOption                                                                                                                smallint                                                                                                                                       29
dbo                                                                                                                              dwFullCompany                                                                                                                    szLeadLinkOption                                                                                                                 varchar                                                                                                                                        30
dbo                                                                                                                              dwFullCompany                                                                                                                    cLeadlinkAssigned                                                                                                                tinyint                                                                                                                                        31
dbo                                                                                                                              dwFullCompany                                                                                                                    nMaxLeadLink                                                                                                                     int                                                                                                                                            32
dbo                                                                                                                              dwFullCompany                                                                                                                    dwActive                                                                                                                         bit                                                                                                                                            33
dbo                                                                                                                              dwFullCompany                                                                                                                    nTimeZone                                                                                                                        smallint                                                                                                                                       34
dbo                                                                                                                              dwFullCompany                                                                                                                    bDealership                                                                                                                      bit                                                                                                                                            35
dbo                                                                                                                              dwFullCompany                                                                                                                    ETLExecution_ID                                                                                                                  int                                                                                                                                            36
dbo                                                                                                                              dwFullCompany                                                                                                                    bHasDaylightSavingTime                                                                                                           bit                                                                                                                                            37
dbo                                                                                                                              dwFullCompanyChildCompanyMap                                                                                                     lCompanyChildCompanyMapID                                                                                                        int                                                                                                                                             1
dbo                                                                                                                              dwFullCompanyChildCompanyMap                                                                                                     lCompanyID                                                                                                                       int                                                                                                                                             2
dbo                                                                                                                              dwFullCompanyChildCompanyMap                                                                                                     lChildCompanyID                                                                                                                  int                                                                                                                                             3
dbo                                                                                                                              dwFullCompanyChildCompanyMap                                                                                                     lCallCenterID                                                                                                                    int                                                                                                                                             4
dbo                                                                                                                              dwFullCompanyChildCompanyMap                                                                                                     ETLExecution_ID                                                                                                                  int                                                                                                                                             5
dbo                                                                                                                              dwFullCompanyHierarchy                                                                                                           lCompanyHierarchyID                                                                                                              int                                                                                                                                             1
dbo                                                                                                                              dwFullCompanyHierarchy                                                                                                           lParentID                                                                                                                        int                                                                                                                                             2
dbo                                                                                                                              dwFullCompanyHierarchy                                                                                                           lChildID                                                                                                                         int                                                                                                                                             3
