TABLE_SCHEMA                                                                                                                     TABLE_NAME                                                                                                                       COLUMN_NAME                                                                                                                      DATA_TYPE                                                                                                                        ORDINAL_POSITION
dbo                                                                                                                              dwFullCustomer                                                                                                                   szRegion                                                                                                                         varchar                                                                                                                                        39
dbo                                                                                                                              dwFullCustomer                                                                                                                   nliEducationID                                                                                                                   smallint                                                                                                                                       40
dbo                                                                                                                              dwFullCustomer                                                                                                                   szEducation                                                                                                                      varchar                                                                                                                                        41
dbo                                                                                                                              dwFullCustomer                                                                                                                   nliCustomerRating                                                                                                                smallint                                                                                                                                       42
dbo                                                                                                                              dwFullCustomer                                                                                                                   szCustomerRating                                                                                                                 varchar                                                                                                                                        43
dbo                                                                                                                              dwFullCustomer                                                                                                                   cNumberOfChildren                                                                                                                tinyint                                                                                                                                        44
dbo                                                                                                                              dwFullCustomer                                                                                                                   nliMaritalStatus                                                                                                                 smallint                                                                                                                                       45
dbo                                                                                                                              dwFullCustomer                                                                                                                   szMaritalStatus                                                                                                                  varchar                                                                                                                                        46
dbo                                                                                                                              dwFullCustomer                                                                                                                   dtWedding                                                                                                                        smalldatetime                                                                                                                                  47
dbo                                                                                                                              dwFullCustomer                                                                                                                   bHomeOwner                                                                                                                       tinyint                                                                                                                                        48
dbo                                                                                                                              dwFullCustomer                                                                                                                   nCreditBeacon                                                                                                                    smallint                                                                                                                                       49
dbo                                                                                                                              dwFullCustomer                                                                                                                   szPersonalInfo                                                                                                                   varchar                                                                                                                                        50
dbo                                                                                                                              dwFullCustomer                                                                                                                   lDriversLicenseState                                                                                                             int                                                                                                                                            51
dbo                                                                                                                              dwFullCustomer                                                                                                                   szAbbreviationdl                                                                                                                 varchar                                                                                                                                        52
dbo                                                                                                                              dwFullCustomer                                                                                                                   szDriversLicenseNumber                                                                                                           varchar                                                                                                                                        53
dbo                                                                                                                              dwFullCustomer                                                                                                                   bReceiveTips                                                                                                                     bit                                                                                                                                            54
dbo                                                                                                                              dwFullCustomer                                                                                                                   bReceiveRecalls                                                                                                                  bit                                                                                                                                            55
dbo                                                                                                                              dwFullCustomer                                                                                                                   bReceiveSpecials                                                                                                                 bit                                                                                                                                            56
dbo                                                                                                                              dwFullCustomer                                                                                                                   bServiceReminders                                                                                                                bit                                                                                                                                            57
dbo                                                                                                                              dwFullCustomer                                                                                                                   bHTML                                                                                                                            bit                                                                                                                                            58
dbo                                                                                                                              dwFullCustomer                                                                                                                   curServiceValue                                                                                                                  money                                                                                                                                          59
dbo                                                                                                                              dwFullCustomer                                                                                                                   curSoldValue                                                                                                                     money                                                                                                                                          60
dbo                                                                                                                              dwFullCustomer                                                                                                                   curReferredValue                                                                                                                 money                                                                                                                                          61
dbo                                                                                                                              dwFullCustomer                                                                                                                   nApproximateYearOfBirth                                                                                                          smallint                                                                                                                                       62
dbo                                                                                                                              dwFullCustomer                                                                                                                   bHeadOfHousehold                                                                                                                 bit                                                                                                                                            63
dbo                                                                                                                              dwFullCustomer                                                                                                                   dtCleanedpd                                                                                                                      smalldatetime                                                                                                                                  64
dbo                                                                                                                              dwFullCustomer                                                                                                                   lOptInOutID                                                                                                                      int                                                                                                                                            65
dbo                                                                                                                              dwFullCustomer                                                                                                                   bHomeDNC                                                                                                                         bit                                                                                                                                            66
dbo                                                                                                                              dwFullCustomer                                                                                                                   bWorkDNC                                                                                                                         bit                                                                                                                                            67
dbo                                                                                                                              dwFullCustomer                                                                                                                   bCellDNC                                                                                                                         bit                                                                                                                                            68
dbo                                                                                                                              dwFullCustomer                                                                                                                   bAddressDNM                                                                                                                      bit                                                                                                                                            69
dbo                                                                                                                              dwFullCustomer                                                                                                                   bPrimEmailDNE                                                                                                                    bit                                                                                                                                            70
dbo                                                                                                                              dwFullCustomer                                                                                                                   bSecEmailDNE                                                                                                                     bit                                                                                                                                            71
dbo                                                                                                                              dwFullCustomer                                                                                                                   bHomePrefer                                                                                                                      bit                                                                                                                                            72
dbo                                                                                                                              dwFullCustomer                                                                                                                   bWorkPrefer                                                                                                                      bit                                                                                                                                            73
dbo                                                                                                                              dwFullCustomer                                                                                                                   bCellPrefer                                                                                                                      bit                                                                                                                                            74
dbo                                                                                                                              dwFullCustomer                                                                                                                   bAddressPrefer                                                                                                                   bit                                                                                                                                            75
dbo                                                                                                                              dwFullCustomer                                                                                                                   bPrimEmailPrefer                                                                                                                 bit                                                                                                                                            76
dbo                                                                                                                              dwFullCustomer                                                                                                                   bSecEmailPrefer                                                                                                                  bit                                                                                                                                            77
dbo                                                                                                                              dwFullCustomer                                                                                                                   dwActive                                                                                                                         bit                                                                                                                                            78
dbo                                                                                                                              dwFullCustomer                                                                                                                   ETLExecution_ID                                                                                                                  int                                                                                                                                            79
dbo                                                                                                                              dwFullCustomer                                                                                                                   FortellisPersonGUID                                                                                                              uniqueidentifier                                                                                                                               80
dbo                                                                                                                              dwFullDeal                                                                                                                       lCompanyID                                                                                                                       int                                                                                                                                             1
dbo                                                                                                                              dwFullDeal                                                                                                                       lDealID                                                                                                                          int                                                                                                                                             2
dbo                                                                                                                              dwFullDeal                                                                                                                       lPersonID                                                                                                                        int                                                                                                                                             3
dbo                                                                                                                              dwFullDeal                                                                                                                       lSourceID                                                                                                                        int                                                                                                                                             4
dbo                                                                                                                              dwFullDeal                                                                                                                       szUpType                                                                                                                         varchar                                                                                                                                         5
dbo                                                                                                                              dwFullDeal                                                                                                                       szUpSource                                                                                                                       varchar                                                                                                                                         6
dbo                                                                                                                              dwFullDeal                                                                                                                       szSourceDetails                                                                                                                  varchar                                                                                                                                         7
dbo                                                                                                                              dwFullDeal                                                                                                                       nliColorID                                                                                                                       smallint                                                                                                                                        8
dbo                                                                                                                              dwFullDeal                                                                                                                       szStatus                                                                                                                         varchar                                                                                                                                         9
dbo                                                                                                                              dwFullDeal                                                                                                                       nliInactiveReason                                                                                                                smallint                                                                                                                                       10
dbo                                                                                                                              dwFullDeal                                                                                                                       szInactiveReason                                                                                                                 varchar                                                                                                                                        11
dbo                                                                                                                              dwFullDeal                                                                                                                       dtClosed                                                                                                                         smalldatetime                                                                                                                                  12
dbo                                                                                                                              dwFullDeal                                                                                                                       lDealSubStatusID                                                                                                                 int                                                                                                                                            13
dbo                                                                                                                              dwFullDeal                                                                                                                       szDealSubStatus                                                                                                                  varchar                                                                                                                                        14
dbo                                                                                                                              dwFullDeal                                                                                                                       cNumberOfVehiclesSought                                                                                                          tinyint                                                                                                                                        15
dbo                                                                                                                              dwFullDeal                                                                                                                       cNumberOfVehicleTradeIns                                                                                                         tinyint                                                                                                                                        16
dbo                                                                                                                              dwFullDeal                                                                                                                       bNewProspect                                                                                                                     bit                                                                                                                                            17
dbo                                                                                                                              dwFullDeal                                                                                                                       dtProspectIn                                                                                                                     smalldatetime                                                                                                                                  18
dbo                                                                                                                              dwFullDeal                                                                                                                       lCurTaskID                                                                                                                       bigint                                                                                                                                         19
dbo                                                                                                                              dwFullDeal                                                                                                                       bBeBack                                                                                                                          bit                                                                                                                                            20
dbo                                                                                                                              dwFullDeal                                                                                                                       dtBeBack                                                                                                                         smalldatetime                                                                                                                                  21
dbo                                                                                                                              dwFullDeal                                                                                                                       dtEntry                                                                                                                          smalldatetime                                                                                                                                  22
dbo                                                                                                                              dwFullDeal                                                                                                                       dtLastEdit                                                                                                                       smalldatetime                                                                                                                                  23
dbo                                                                                                                              dwFullDeal                                                                                                                       lDealCommentsID                                                                                                                  int                                                                                                                                            24
dbo                                                                                                                              dwFullDeal                                                                                                                       lCompetitorID                                                                                                                    int                                                                                                                                            25
dbo                                                                                                                              dwFullDeal                                                                                                                       szCompetitor                                                                                                                     varchar                                                                                                                                        26
dbo                                                                                                                              dwFullDeal                                                                                                                       lSubSourceID                                                                                                                     int                                                                                                                                            27
dbo                                                                                                                              dwFullDeal                                                                                                                       szSubSource                                                                                                                      varchar                                                                                                                                        28
dbo                                                                                                                              dwFullDeal                                                                                                                       lChildCompanyID                                                                                                                  int                                                                                                                                            29
dbo                                                                                                                              dwFullDealerProgram                                                                                                              lDealerProgramID                                                                                                                 int                                                                                                                                             1
dbo                                                                                                                              dwFullDealerProgram                                                                                                              lProductOrServiceID                                                                                                              int                                                                                                                                             2
dbo                                                                                                                              dwFullDealerProgram                                                                                                              lCompanyID                                                                                                                       int                                                                                                                                             3
dbo                                                                                                                              dwFullDealerProgram                                                                                                              lEnterpriseID                                                                                                                    int                                                                                                                                             4
dbo                                                                                                                              dwFullDealerProgram                                                                                                              szAccount                                                                                                                        varchar                                                                                                                                         5
dbo                                                                                                                              dwFullDealerProgram                                                                                                              curActualFlatRate                                                                                                                money                                                                                                                                           6
dbo                                                                                                                              dwFullDealerProgram                                                                                                              curActualPerItem                                                                                                                 money                                                                                                                                           7
dbo                                                                                                                              dwFullDealerProgram                                                                                                              szQueryWhere                                                                                                                     varchar                                                                                                                                         8
dbo                                                                                                                              dwFullDealerProgram                                                                                                              dtStart                                                                                                                          smalldatetime                                                                                                                                   9
dbo                                                                                                                              dwFullDealerProgram                                                                                                              dtEnd                                                                                                                            smalldatetime                                                                                                                                  10
dbo                                                                                                                              dwFullDealerProgram                                                                                                              bActive                                                                                                                          bit                                                                                                                                            11
dbo                                                                                                                              dwFullDealerProgram                                                                                                              dtEntry                                                                                                                          smalldatetime                                                                                                                                  12
dbo                                                                                                                              dwFullDealerProgram                                                                                                              dtLastEdit                                                                                                                       smalldatetime                                                                                                                                  13
dbo                                                                                                                              dwFullDealerProgram                                                                                                              lCreatedByUserID                                                                                                                 int                                                                                                                                            14
